"scientificName";"1990-1999";"2000-2009";"2020-2029";"2010-2019";"1980-1989"
"Adoxa moschatellina";4;4;1;0;0
"Allium ursinum";0;2;21;3;0
"Anemone nemorosa";3;2;6;4;0
"Arum maculatum";0;1;4;2;0
"Campanula trachelium";2;5;3;8;2
"Carex sylvatica";0;1;7;0;0
"Dryopteris carthusiana";7;11;0;2;0
"Dryopteris filix-mas";23;67;30;68;3
"Euphorbia amygdaloides";0;0;5;1;0
"Galium odoratum";0;3;15;4;0
"Hyacinthoides non-scripta";2;6;3;3;0
"Lamium galeobdolon";0;0;6;2;1
"Mercurialis perennis";1;0;0;0;0
"Narcissus pseudonarcissus";0;0;2;0;0
"Oxalis acetosella";0;0;1;5;0
"Polygonatum multiflorum";4;3;1;1;0
"Potentilla sterilis";1;1;0;2;0
"Primula elatior";0;0;2;0;0
"Vinca minor";0;1;14;9;0
"Viola reichenbachiana";1;0;0;3;0
"Viola riviniana";0;1;12;8;1
