"scientificName";"1930-1939";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-2019";"2020-2029"
"Adoxa moschatellina";0;1;0;0;0;0;0;1;0;0
"Allium ursinum";0;0;0;0;0;0;0;0;4;11
"Anemone nemorosa";0;0;0;0;0;0;1;0;1;0
"Arum maculatum";0;0;0;0;0;0;2;0;0;5
"Carex sylvatica";0;0;0;0;0;0;0;0;0;4
"Dryopteris carthusiana";0;0;0;0;0;4;2;0;0;0
"Dryopteris filix-mas";0;0;0;0;2;5;12;6;11;7
"Galium odoratum";0;0;0;0;0;1;1;0;2;5
"Hyacinthoides non-scripta";0;0;0;0;0;0;1;1;1;2
"Lamium galeobdolon";0;0;0;0;0;0;0;0;6;7
"Milium effusum";0;0;0;0;0;0;0;0;2;1
"Oxalis acetosella";0;0;0;0;0;0;1;0;0;0
"Polygonatum multiflorum";0;0;0;0;1;3;5;2;1;6
"Primula elatior";0;0;0;0;0;0;0;0;0;3
"Vinca minor";0;0;0;0;0;0;0;3;3;4
"Viola reichenbachiana";0;0;0;0;0;0;0;0;0;1
"Viola riviniana";0;0;0;0;0;0;0;0;1;1
